Timestamp 	 CPU-Usage
13:28:15.162 13
13:28:16.170 14
13:28:17.178 11
13:28:18.185 14
13:28:19.191 14
13:28:20.199 17
13:28:21.206 24
13:28:22.215 31
13:28:23.221 29
13:28:24.226 14
13:28:25.233 21
13:28:26.241 17
13:28:27.248 15
13:28:28.253 19
13:28:29.260 19
13:28:30.265 27
13:28:31.272 7
13:28:32.279 8
13:28:33.288 8
13:28:34.295 13
13:28:35.302 16
13:28:36.308 12
13:28:37.314 12
13:28:38.321 13
13:28:39.327 22
13:28:40.333 19
13:28:41.339 10
13:28:42.346 31
13:28:43.352 22
13:28:44.357 20
13:28:45.363 27
13:28:46.370 10
13:28:47.378 11
13:28:48.385 20
13:28:49.392 15
13:28:50.398 14
13:28:51.404 12
13:28:52.410 17
13:28:53.417 9
13:28:54.424 11
13:28:55.433 13
13:28:56.441 18
13:28:57.447 16
13:28:58.455 15
13:28:59.462 16
13:29:00.470 15
13:29:01.477 10
13:29:03.000 14
13:29:04.089 12
13:29:05.096 12
13:29:06.104 8
13:29:07.110 16
13:29:08.115 10
13:29:09.122 12
13:29:10.130 14
13:29:11.137 18
13:29:12.143 14
13:29:13.151 9
13:29:14.158 10
13:29:15.166 16
13:29:16.173 9
13:29:17.179 13
13:29:18.186 12
13:29:19.194 9
13:29:20.202 15
13:29:21.209 11
13:29:22.217 12
13:29:23.224 15
13:29:24.233 13
13:29:25.241 14
13:29:26.249 14
13:29:27.256 12
13:29:28.264 11
13:29:29.271 8
13:29:30.278 10
13:29:31.284 12
13:29:32.290 8
13:29:33.297 11
13:29:34.305 8
13:29:35.312 12
13:29:36.320 13
13:29:37.328 10
13:29:38.336 23
13:29:39.343 11
13:29:40.351 38
13:29:41.359 11
13:29:42.366 10
13:29:43.373 21
13:29:44.380 20
13:29:45.386 29
13:29:46.393 28
13:29:47.399 19
13:29:48.405 18
13:29:49.412 16
13:29:50.417 21
13:29:51.423 29
13:29:52.429 16
13:29:53.436 13
